單字,KK 音標,詞性,中文意思,實用造句與用法說明
a,[ə],冠詞,一個,She has a book in her hand.（她手裡有一本書。用於單數可數名詞前。）
able,[ˈebl],形容詞,有能力的,He is able to swim across the river.（他有能力游過這條河。常與 to 連用。）
about,[əˈbaʊt],介系詞,關於 / 大約,Tell me about your new plan. / It is about five o'clock.（告訴我關於你的新計劃。/ 現在大約五點。）
account,[əˈkaʊnt],名詞,帳戶 / 報告,I need to open a bank account.（我需要開立一個銀行帳戶。）
acid,[ˈæsɪd],名詞 / 形容詞,酸 / 酸性的,Lemon juice contains acid. / This fruit has an acid taste.（檸檬汁含有酸。/ 這水果有酸味。）
across,[əˈkrɔs],介系詞,橫過 / 在...對面,We walked across the street.（我們穿過馬路。）
act,[ækt],名詞,行為 / 法令,It is a noble act to help people in need.（幫助有需要的人是高尚的行為。）
addition,[əˈdɪʃən],名詞,增加 / 加法,"In addition to rice, we need some vegetables.（除了米飯之外，我們還需要一些蔬菜。）"
adjustment,[əˈdʒʌstmənt],名詞,調整 / 調節,The machine needs a slight adjustment.（這台機器需要稍微調整一下。）
advertisement,[ˌædvɚˈtaɪzmənt],名詞,廣告,I saw an advertisement for a new car on TV.（我在電視上看到一個新車的廣告。）
after,[ˈæftɚ],介系詞,在...之後,We will go for a walk after dinner.（我們晚飯後去散步。）
again,[əˈɡɛn],副詞,再一次,Please read this book again.（請把這本書再讀一遍。）
against,[əˈɡɛnst],介系詞,反對 / 靠著,Are you for or against the idea?（你是贊成還是反對這個想法？）
agreement,[əˈɡrimənt],名詞,同意 / 協議,They signed an agreement to work together.（他們簽署了一項合作協議。）
air,[ɛr],名詞,空氣 / 天空,We need fresh air to breathe.（我們需要新鮮的空氣來呼吸。）
all,[ɔl],形容詞 / 代名詞,全部的 / 一切,All the students passed the test.（所有的學生都通過了考試。）
almost,[ˈɔlˌmost],副詞,幾乎,I am almost ready to go.（我幾乎準備好可以出發了。）
among,[əˈmʌŋ],介系詞,在...之中（三者以上）,Divide the sweets among the children.（把糖果分給孩子們。）
amount,[əˈmaʊnt],名詞,數量 / 金額,A large amount of money was spent on the project.（這項專案花費了大量的資金。）
amusement,[əˈmjuzmənt],名詞,娛樂 / 樂趣,"To our amusement, the clown fell down.（令我們感到好笑的是，小丑摔倒了。）"
and,[ænd],連接詞,和 / 而且,I like apples and oranges.（我喜歡蘋果和柳橙。）
